level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
mild,dir,1.0,10,,Cifar100_supp_c100_hetero_mild,fu,FU,fu_mild,complete,0.3134666504449649,0.2014905700824326,0.30407313846141815,0.30407313846141815,0.27608142493638677,0.13231552162849872,0.17938931297709923,0.31762056439036246,0.20917668657731414,0.3179268968485647,-0.14376590330788805,-0.520737327187054,-0.10844387781304836,-0.3417537047691528,0.10258256837898555,fu_adaptive_recovery_round_5,0.6277,0.5719,0.05580000000000007,0.2708,0.3021,,,
mild,dir,1.0,10,,Cifar100_supp_c100_hetero_mild,fedau,FedAU,fedau_mild,complete,0.3032487988781795,0.291442859084975,,0.291442859084975,0.2385496183206107,0.19083969465648856,0.19083969465648856,0.3104375967179094,0.302620988465918,0.302620988465918,-0.047709923664122134,-0.19999999999916157,-0.007816608251991394,-0.02534829862247385,,skipped_for_fedau,0.5864,0.5602,0.0262,0.2552,0.2344,,,
mild,dir,1.0,10,,Cifar100_supp_c100_hetero_mild,fedcsa,FedCSA,fedcsa_mild,complete,0.3134666504449649,0.3022752427318623,0.3036861967469995,0.3036861967469995,0.27608142493638677,0.2480916030534351,0.255089058524173,0.31762056439036246,0.3082956471405764,0.30908587877175797,-0.027989821882951654,-0.10138248847889546,-0.009324917249786069,-0.02940401476709,0.001410954015137189,external_server_recovery,0.6007,0.5988,0.0019000000000000128,0.2708,0.2865,,,
mild,dir,1.0,10,,Cifar100_supp_c100_hetero_mild,fedosd,FedOSD,fedosd_mild,complete,0.3134666504449649,0.1903645479169985,,0.1903645479169985,0.27608142493638677,0.09860050890585242,0.09860050890585242,0.31762056439036246,0.2005605522515703,0.2005605522515703,-0.17748091603053434,-0.6428571428548143,-0.11706001213879219,-0.3686000928517452,,internal_fedosd_post_training,0.6007,0.5146,0.08610000000000007,0.2708,0.1146,,,
mild,dir,1.0,10,,Cifar100_supp_c100_hetero_mild,retrain,Retrain,retrain_mild,complete,,,,0.27168891239469106,,,0.02099236641221374,,,0.2995440841705219,,,,,,,,,,,,0.8550539905384913,0.5193,0.2344
moderate,dir,0.3,10,,Cifar100_supp_c100_hetero_moderate,fu,FU,fu_moderate,complete,0.27188590321773404,0.19671667048400926,0.25186722603964645,0.25186722603964645,0.29188829787234044,0.06316489361702128,0.14162234042553193,0.2696634149227778,0.21155575680256347,0.26411665777454807,-0.22872340425531917,-0.7835990888355843,-0.058107658120214345,-0.21461496340423206,0.05515055555563719,fu_adaptive_recovery_round_2,0.7281,0.5281,0.19999999999999996,0.3594,0.2031,,,
moderate,dir,0.3,10,,Cifar100_supp_c100_hetero_moderate,fedau,FedAU,fedau_moderate,complete,0.25955355558460685,0.25994569134058315,,0.25994569134058315,0.28324468085106386,0.17220744680851063,0.17220744680851063,0.25692120833277826,0.26969438517748,0.26969438517748,-0.11103723404255322,-0.3920187793413391,0.01277317684470177,0.05243470613023203,,skipped_for_fedau,0.5393,0.481,0.05830000000000002,0.2917,0.1615,,,
moderate,dir,0.3,10,,Cifar100_supp_c100_hetero_moderate,fedcsa,FedCSA,fedcsa_moderate,complete,0.27188590321773404,0.2682079011052849,0.2688271564962425,0.2688271564962425,0.29188829787234044,0.2533244680851064,0.24933510638297873,0.2696634149227778,0.26986161588530483,0.2709929398421607,-0.03856382978723405,-0.13211845102460434,0.00019820096252698736,0.0005680041568722081,0.0006192553909575849,external_server_recovery,0.7218,0.59,0.13180000000000003,0.3594,0.2604,,,
moderate,dir,0.3,10,,Cifar100_supp_c100_hetero_moderate,fedosd,FedOSD,fedosd_moderate,complete,0.27188590321773404,0.1856796606212398,,0.1856796606212398,0.29188829787234044,0.036569148936170214,0.036569148936170214,0.2696634149227778,0.20224749525291422,0.20224749525291422,-0.25531914893617025,-0.8747152619560011,-0.06741591966986357,-0.24810801737086827,,internal_fedosd_post_training,0.7218,0.4894,0.2324,0.3594,0.0521,,,
moderate,dir,0.3,10,,Cifar100_supp_c100_hetero_moderate,retrain,Retrain,retrain_moderate,complete,,,,0.2353728203847379,,,0.007978723404255319,,,0.2606388311603471,,,,,,,,,,,,0.8422017735929016,0.4834,0.25
