level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc,client_count
severe,dir,0.1,10,,Cifar10_clientscale_c10_severe,fu,FU,fu_severe,complete,0.4107926641574663,0.28049485132909713,0.43054592190675817,0.43054592190675817,0.36594202898550726,0.036231884057971016,0.11594202898550725,0.41577606806546175,0.3076351810258889,0.46550191000911945,-0.32971014492753625,-0.900990099007439,-0.10814088703957293,-0.07882677054920763,0.15005107057766104,fu_adaptive_recovery_round_1,0.4833,0.5369,-0.053600000000000037,0.4115,0.3646,,,,10
severe,dir,0.1,10,,Cifar10_clientscale_c10_severe,fedau,FedAU,fedau_severe,complete,0.39067804070839285,0.3499951467998926,,0.3499951467998926,0.21014492753623187,0.10869565217391304,0.10869565217391304,0.4107372755052996,0.37680620175833474,0.37680620175833474,-0.10144927536231883,-0.48275862068735786,-0.03393107374696488,-0.04543060540359135,,skipped_for_fedau,0.4622,0.4518,0.01040000000000002,0.4219,0.2292,,,,10
severe,dir,0.1,10,,Cifar10_clientscale_c10_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.4107926641574663,0.4024499901208066,0.4288844894035342,0.4288844894035342,0.36594202898550726,0.32608695652173914,0.35507246376811596,0.41577606806546175,0.41093477163181413,0.4370858255852472,-0.039855072463768126,-0.10891089108881133,-0.004841296433647688,-0.00769518203776391,0.026434499282727564,external_server_recovery,0.5054,0.4906,0.01479999999999998,0.4115,0.3854,,,,10
severe,dir,0.1,10,,Cifar10_clientscale_c10_severe,fedosd,FedOSD,fedosd_severe,complete,0.4107926641574663,0.3558835873756929,,0.3558835873756929,0.36594202898550726,0.17753623188405798,0.17753623188405798,0.41577606806546175,0.3756999602080968,0.3756999602080968,-0.18840579710144928,-0.514851485147108,-0.04007610785736496,-0.08203829182986253,,internal_fedosd_post_training,0.5054,0.4562,0.049199999999999966,0.4115,0.276,,,,10
severe,dir,0.1,10,,Cifar10_clientscale_c10_severe,retrain,Retrain,retrain_severe,complete,,,,0.37957971725730777,,,0.043478260869565216,,,0.4169243235226125,,,,,,,,,,,,0.7580888129546595,0.5317,0.4688,10
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fu,FU,fu_severe,complete,0.3160069230953947,0.27473980987473173,0.4221111925030888,0.4221111925030888,0.3184656556645852,0.008028545941123996,0.013380909901873328,0.31587751611806886,0.28877724481860584,0.4436233126399949,-0.31043710972346117,-0.9747899159633256,-0.027100271299462995,-0.09641877106939625,0.14737138262835708,fu_adaptive_recovery_round_1,0.5415,0.5099,0.03159999999999996,0.3021,0.0312,,,,20
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fedau,FedAU,fedau_severe,complete,0.28444760986194184,0.3091237562399582,,0.3091237562399582,0.06868867082961641,0.01873327386262266,0.01873327386262266,0.29580334349522214,0.32440746583876534,0.32440746583876534,-0.04995539696699375,-0.7272727272621392,0.02860412234354325,0.1904071238704705,,skipped_for_fedau,0.4619,0.4678,-0.005900000000000016,0.0469,0.0052,,,,20
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.3160069230953947,0.2955716597925969,0.3023148950180164,0.3023148950180164,0.3184656556645852,0.16681534344335414,0.1801962533452275,0.31587751611806886,0.30234830802150436,0.3087421919481632,-0.15165031222123104,-0.47619047618898097,-0.013529208096564476,-0.0378040216713125,0.006743235225419475,external_server_recovery,0.5415,0.5379,0.0035999999999999366,0.3021,0.099,,,,20
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,fedosd,FedOSD,fedosd_severe,complete,0.3160069230953947,0.26599550045605,,0.26599550045605,0.3184656556645852,0.020517395182872437,0.020517395182872437,0.31587751611806886,0.2789154007335857,0.2789154007335857,-0.29794826048171275,-0.9355742296889391,-0.0369621153844831,-0.15434285711897874,,internal_fedosd_post_training,0.5415,0.5282,0.013299999999999979,0.3021,0.0312,,,,20
severe,dir,0.1,20,,Cifar10_clientscale_c20_severe,retrain,Retrain,retrain_severe,complete,,,,0.294615970208527,,,0.008028545941123996,,,0.3096995188541798,,,,,,,,,,,,0.7122447590014855,0.4865,0.1406,20
