level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fu,FU,fu_mild,complete,0.7068,0.7422666666666667,0.6163333333333333,0.7068,0.7422666666666666,0.6163333333333333,0.6163333333333333,0.6163333333333333,0.7079,0.8294,0.8018,0.8018,0.7173333333333334,0.6066666666666667,0.15066666666666667,0.7056296296296296,0.7573333333333333,0.6680740740740742,-0.11066666666666669,-0.15427509293658795,0.051703703703703696,0.07812802869237141,,fu_adaptive_recovery_skipped,0.5146,0.4815,0.03309999999999996,0.0,0.0,0.4951,0.0312,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedau,FedAU,fedau_mild,complete,0.7035333333333333,0.6502666666666667,,0.7035333333333333,0.6502666666666667,,0.6502666666666667,0.6502666666666667,0.8405,0.7649,,0.7649,0.8346666666666667,0.38666666666666666,0.38666666666666666,0.688962962962963,0.6795555555555555,0.6795555555555555,-0.448,-0.5367412140568649,-0.009407407407407396,-0.0028243644482290023,,skipped_for_fedau,0.4987,0.4869,0.011799999999999977,0.0,0.0,0.4869,0.0,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedcsa,FedCSA,fedcsa_mild,complete,0.7068,0.6301333333333333,0.6759333333333333,0.7068,0.6301333333333333,0.6759333333333334,0.6759333333333333,0.6759333333333334,0.7079,0.9132,0.8649,0.8649,0.7173333333333334,0.5266666666666666,0.548,0.7056296296296296,0.6416296296296297,0.6901481481481482,-0.19066666666666676,-0.2657992565052058,-0.064,-0.09309371274535974,0.04579999999999995,external_server_recovery,0.5146,0.4854,0.029199999999999948,0.0,0.0,0.4857,0.0,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedosd,FedOSD,fedosd_mild,complete,0.7068,0.6755333333333334,,0.7068,0.6755333333333333,,0.6755333333333334,0.6755333333333333,0.7079,0.8847,,0.8847,0.7173333333333334,0.48533333333333334,0.48533333333333334,0.7056296296296296,0.6966666666666667,0.6966666666666667,-0.23200000000000004,-0.32342007434899156,-0.008962962962962975,-0.012987662871107357,,internal_fedosd_post_training,0.5146,0.4874,0.027199999999999946,0.0,0.0,0.4874,0.0,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,retrain,Retrain,retrain_mild,complete,,,,,,,0.5864,0.5864,,,,0.83,,,0.020666666666666667,,,0.6492592592592593,,,,,,,,,,,,0.4699,0.0,0.86359947654321,0.8635994765432098,0.9714914583333334
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fu,FU,fu_moderate,complete,0.5047333333333334,0.6526666666666666,,0.5047333333333334,0.6526666666666666,,0.6526666666666666,0.6526666666666666,0.7328,0.7555,,0.7555,0.30933333333333335,0.17133333333333334,0.17133333333333334,0.5264444444444445,0.7061481481481482,0.7061481481481482,-0.138,-0.44612068965373025,0.1797037037037037,0.5051679351709409,,fu_adaptive_recovery_skipped,0.5047,0.4813,0.023400000000000032,0.0,0.0,0.4813,0.0,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedau,FedAU,fedau_moderate,complete,0.5208,0.4328666666666667,,0.5208,0.4328666666666667,,0.4328666666666667,0.4328666666666667,0.6734,0.5139,,0.5139,0.592,0.013333333333333334,0.013333333333333334,0.512888888888889,0.47948148148148145,0.47948148148148145,-0.5786666666666667,-0.9774774774758264,-0.03340740740740741,-0.041930963838113004,,skipped_for_fedau,0.5018,0.5039,-0.0020999999999999908,0.0,0.0,0.5039,0.0,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedcsa,FedCSA,fedcsa_moderate,complete,0.5047333333333334,0.48386666666666656,0.5062666666666666,0.5047333333333334,0.48386666666666667,0.5062666666666666,0.5062666666666666,0.5062666666666666,0.7328,0.8774,0.7566,0.7566,0.30933333333333335,0.19466666666666665,0.23733333333333334,0.5264444444444445,0.5159999999999999,0.5361481481481483,-0.1146666666666667,-0.37068965517121555,-0.010444444444444438,0.006531785663164121,0.022400000000000087,external_server_recovery,0.5047,0.4834,0.02130000000000004,0.0,0.0,0.4899,0.0,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedosd,FedOSD,fedosd_moderate,complete,0.5047333333333334,0.4472666666666666,,0.5047333333333334,0.44726666666666665,,0.4472666666666666,0.44726666666666665,0.7328,0.7967,,0.7967,0.30933333333333335,0.056,0.056,0.5264444444444445,0.4907407407407407,0.4907407407407407,-0.25333333333333335,-0.8189655172387319,-0.03570370370370371,-0.0664683157684025,,internal_fedosd_post_training,0.5047,0.4823,0.02240000000000003,0.0,0.0,0.4823,0.0,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,retrain,Retrain,retrain_moderate,complete,,,,,,,0.4574,0.4574,,,,0.8627,,,0.0,,,0.5082222222222221,,,,,,,,,,,,0.4811,0.0,0.7684535530864198,0.7684535530864197,0.9772898394444446
