level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fu,FU,fu_mild,complete,0.7624000000000001,0.5956,0.6163333333333333,0.7624,0.5956,0.6163333333333333,0.6163333333333333,0.6163333333333333,0.8372,0.6735,0.8018,0.8018,0.836,0.572,0.15066666666666667,0.7542222222222221,0.5982222222222222,0.6680740740740742,-0.264,-0.3157894736838328,-0.156,-0.1989258661939273,0.02073333333333327,fu_adaptive_recovery_round_5,0.5187,0.4976,0.021100000000000063,0.0365,0.0417,0.4951,0.0312,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedau,FedAU,fedau_mild,complete,0.7499333333333333,0.6507333333333334,,0.7499333333333333,0.6507333333333334,,0.6507333333333334,0.6507333333333334,0.8604,0.7734,,0.7734,0.8533333333333334,0.328,0.328,0.7384444444444445,0.6865925925925926,0.6865925925925926,-0.5253333333333334,-0.6156249999992787,-0.05185185185185184,-0.07432541352303552,,skipped_for_fedau,0.503,0.497,0.006000000000000005,0.026,0.026,0.497,0.026,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedcsa,FedCSA,fedcsa_mild,complete,0.7624000000000001,0.7734,0.6352666666666666,0.7624,0.7734,0.6352666666666666,0.6352666666666666,0.6352666666666666,0.8372,0.8821,0.6779,0.6779,0.836,0.7453333333333333,0.18066666666666667,0.7542222222222221,0.7765185185185186,0.6857777777777778,-0.09066666666666667,-0.108452950558084,0.022296296296296297,0.03128665754905953,-0.13813333333333333,external_server_recovery,0.5187,0.5069,0.011800000000000033,0.0365,0.0365,0.5076,0.0208,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedosd,FedOSD,fedosd_mild,complete,0.7624000000000001,0.3594666666666667,,0.7624,0.35946666666666666,,0.3594666666666667,0.35946666666666666,0.8372,0.6965,,0.6965,0.836,0.14733333333333334,0.14733333333333334,0.7542222222222221,0.38303703703703706,0.38303703703703706,-0.6886666666666666,-0.8237639553419174,-0.3711851851851852,-0.4955249984020003,,internal_fedosd_post_training,0.5187,0.5001,0.01860000000000006,0.0365,0.0365,0.5001,0.0365,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,retrain,Retrain,retrain_mild,complete,,,,,,,0.5864,0.5864,,,,0.83,,,0.020666666666666667,,,0.6492592592592593,,,,,,,,,,,,0.4939,0.0417,0.86359947654321,0.8635994765432098,0.9714914583333334
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fu,FU,fu_moderate,complete,0.5855333333333332,0.3352,,0.5855333333333334,0.3352,,0.3352,0.3352,0.749,0.5343,,0.5343,0.574,0.004,0.004,0.5868148148148147,0.37200000000000005,0.37200000000000005,-0.57,-0.9930313588832874,-0.2148148148148148,-0.29505298420576304,,fu_adaptive_recovery_skipped,0.4839,0.4968,-0.012900000000000023,0.0781,0.0573,0.4968,0.0573,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedau,FedAU,fedau_moderate,complete,0.4608666666666667,0.26453333333333334,,0.46086666666666665,0.26453333333333334,,0.26453333333333334,0.26453333333333334,0.3603,0.2281,,0.2281,0.496,0.004666666666666667,0.004666666666666667,0.45696296296296296,0.2934074074074074,0.2934074074074074,-0.49133333333333334,-0.9905913978474653,-0.16355555555555557,-0.33764791150617973,,skipped_for_fedau,0.5109,0.494,0.016900000000000026,0.2344,0.0156,0.494,0.0156,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedcsa,FedCSA,fedcsa_moderate,complete,0.4152,0.4448666666666667,0.43693333333333334,0.4152,0.4448666666666667,0.43693333333333334,0.43693333333333334,0.43693333333333334,0.4498,0.5966,0.4353,0.4353,0.30866666666666664,0.2733333333333333,0.27266666666666667,0.4270370370370371,0.46392592592592585,0.4551851851851852,-0.03533333333333333,-0.11447084233224253,0.03688888888888889,0.14753342081678394,-0.007933333333333348,external_server_recovery,0.5013,0.5105,-0.009199999999999986,0.0833,0.2135,0.4987,0.4062,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedosd,FedOSD,fedosd_moderate,complete,0.4152,0.3632000000000001,,0.4152,0.3632,,0.3632000000000001,0.3632,0.4498,0.4837,,0.4837,0.30866666666666664,0.166,0.166,0.4270370370370371,0.3851111111111111,0.3851111111111111,-0.14266666666666664,-0.4622030237566019,-0.041925925925925936,-0.10425461408879338,,internal_fedosd_post_training,0.5013,0.5031,-0.0018000000000000238,0.0833,0.2292,0.5031,0.2292,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,retrain,Retrain,retrain_moderate,complete,,,,,,,0.41686666666666666,0.41686666666666666,,,,0.4317,,,0.16933333333333334,,,0.44437037037037036,,,,,,,,,,,,0.516,0.401,0.8202131530864196,0.8202131530864198,0.8654707100000001
