level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fu,FU,fu_mild,complete,0.5043333333333333,0.421,0.4952666666666666,0.5043333333333333,0.421,0.47746666666666665,0.4952666666666666,0.47746666666666665,0.5296,0.4999,0.653,0.653,0.5806666666666667,0.26266666666666666,0.15933333333333333,0.4958518518518518,0.4385925925925926,0.5325925925925925,-0.318,-0.5476463834663359,-0.057259259259259246,-0.10358776855520482,0.07426666666666659,fu_adaptive_recovery_round_4,0.4897,0.4766,0.0131,0.0625,0.0573,0.4885,0.0521,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedau,FedAU,fedau_mild,complete,0.4954666666666667,0.292,,0.49546666666666667,0.292,,0.292,0.292,0.4287,0.1838,,0.1838,0.546,0.08133333333333333,0.08133333333333333,0.48985185185185187,0.3154074074074074,0.3154074074074074,-0.46466666666666673,-0.8510378510362925,-0.1744444444444444,-0.358847060888798,,skipped_for_fedau,0.501,0.5001,0.0009000000000000119,0.0677,0.0833,0.5001,0.0833,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedcsa,FedCSA,fedcsa_mild,complete,0.5043333333333333,0.533,0.5761999999999999,0.5043333333333333,0.533,0.5762,0.5761999999999999,0.5762,0.5296,0.6838,0.5772,0.5772,0.5806666666666667,0.34933333333333333,0.28,0.4958518518518518,0.5534074074074073,0.609111111111111,-0.23133333333333334,-0.3983926521233093,0.057555555555555554,0.127635060060041,0.043199999999999905,external_server_recovery,0.4897,0.4989,-0.009199999999999986,0.0625,0.0469,0.4992,0.0365,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,fedosd,FedOSD,fedosd_mild,complete,0.5043333333333333,0.48513333333333336,,0.5043333333333333,0.48513333333333336,,0.48513333333333336,0.48513333333333336,0.5296,0.5675,,0.5675,0.5806666666666667,0.4533333333333333,0.4533333333333333,0.4958518518518518,0.48866666666666675,0.48866666666666675,-0.12733333333333335,-0.2192881745116775,-0.007185185185185183,-0.01440625961281027,,internal_fedosd_post_training,0.4897,0.4863,0.003400000000000014,0.0625,0.0781,0.4863,0.0781,,,
mild,dir,1.0,10,,Cifar10_hetero_clean_s42_mild,retrain,Retrain,retrain_mild,complete,,,,,,,0.4698666666666667,0.46986666666666665,,,,0.5448,,,0.04,,,0.5176296296296298,,,,,,,,,,,,0.49,0.099,0.8419941975308642,0.8419941975308641,0.8988597483333333
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fu,FU,fu_moderate,complete,0.4152,0.3360666666666667,0.4528,0.4152,0.3360666666666667,0.4759333333333333,0.4528,0.4759333333333333,0.4498,0.3802,0.5657,0.5657,0.30866666666666664,0.034,0.11733333333333333,0.4270370370370371,0.36962962962962964,0.4900740740740741,-0.2746666666666666,-0.8898488120921495,-0.0574074074074074,-0.038801025797471134,0.1167333333333333,fu_adaptive_recovery_round_2,0.5013,0.5031,-0.0018000000000000238,0.0833,0.2865,0.5007,0.4062,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedau,FedAU,fedau_moderate,complete,0.4608666666666667,0.26453333333333334,,0.46086666666666665,0.26453333333333334,,0.26453333333333334,0.26453333333333334,0.3603,0.2281,,0.2281,0.496,0.004666666666666667,0.004666666666666667,0.45696296296296296,0.2934074074074074,0.2934074074074074,-0.49133333333333334,-0.9905913978474653,-0.16355555555555557,-0.33764791150617973,,skipped_for_fedau,0.5109,0.494,0.016900000000000026,0.2344,0.0156,0.494,0.0156,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedcsa,FedCSA,fedcsa_moderate,complete,0.4152,0.4448666666666667,0.43693333333333334,0.4152,0.4448666666666667,0.43693333333333334,0.43693333333333334,0.43693333333333334,0.4498,0.5966,0.4353,0.4353,0.30866666666666664,0.2733333333333333,0.27266666666666667,0.4270370370370371,0.46392592592592585,0.4551851851851852,-0.03533333333333333,-0.11447084233224253,0.03688888888888889,0.14753342081678394,-0.007933333333333348,external_server_recovery,0.5013,0.5105,-0.009199999999999986,0.0833,0.2135,0.4987,0.4062,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,fedosd,FedOSD,fedosd_moderate,complete,0.4152,0.3632000000000001,,0.4152,0.3632,,0.3632000000000001,0.3632,0.4498,0.4837,,0.4837,0.30866666666666664,0.166,0.166,0.4270370370370371,0.3851111111111111,0.3851111111111111,-0.14266666666666664,-0.4622030237566019,-0.041925925925925936,-0.10425461408879338,,internal_fedosd_post_training,0.5013,0.5031,-0.0018000000000000238,0.0833,0.2292,0.5031,0.2292,,,
moderate,dir,0.3,10,,Cifar10_hetero_clean_s42_moderate,retrain,Retrain,retrain_moderate,complete,,,,,,,0.41686666666666666,0.41686666666666666,,,,0.4317,,,0.16933333333333334,,,0.44437037037037036,,,,,,,,,,,,0.516,0.401,0.8202131530864196,0.8202131530864198,0.8654707100000001
