level,alpha,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
mild,1.0,Cifar10_hetero_mild,fu,FU,fu_mild_adaptive,complete,0.5613000002090427,0.3742670271992632,0.5310828504659287,0.5310828504659287,0.5789865871833085,0.21087928464977646,0.38152011922503726,0.5593348238785688,0.3924212208158728,0.5477009317149167,-0.3681073025335321,-0.6357786357775377,-0.16691360306269598,-0.29281571625850733,0.15681582326666554,fu_adaptive_recovery_round_2,0.6868,0.4965,0.19029999999999997,0.6562,0.5573,,,
mild,1.0,Cifar10_hetero_mild,fedau,FedAU,fedau_mild,complete,0.5480485237546726,0.48628333334737006,,0.48628333334737006,0.5692995529061102,0.38822652757078985,0.38822652757078985,0.5456872982934017,0.49717853398921225,0.49717853398921225,-0.18107302533532038,-0.3180628272245722,-0.04850876430418948,-0.08912715018704906,,skipped_for_fedau,0.574,0.5207,0.0532999999999999,0.6302,0.3802,,,
mild,1.0,Cifar10_hetero_mild,fedcsa,FedCSA,fedcsa_mild,complete,0.5613000002090427,0.5568535008539359,0.5551555176249519,0.5551555176249519,0.5789865871833085,0.5476900149031296,0.5648286140089419,0.5593348238785688,0.557871665959581,0.5540807291378417,-0.0312965722801789,-0.054054054053960805,-0.001463157918987644,0.00036387656703813927,-0.001697983228984068,external_server_recovery,0.6868,0.6802,0.006599999999999939,0.6562,0.6042,,,
mild,1.0,Cifar10_hetero_mild,fedosd,FedOSD,fedosd_mild,complete,0.5613000002090427,0.38807151328033823,,0.38807151328033823,0.5789865871833085,0.21758569299552907,0.21758569299552907,0.5593348238785688,0.4070143822008726,0.4070143822008726,-0.36140089418777943,-0.6241956241945461,-0.1523204416776962,-0.27153341473991344,,internal_fedosd_post_training,0.6868,0.4994,0.18739999999999996,0.6562,0.3021,,,
mild,1.0,Cifar10_hetero_mild,retrain,Retrain,retrain_mild,complete,,,,0.4813506280811257,,,0.08271236959761549,,,0.5256437679126269,,,,,,,,,,,,0.8366410464642356,0.4816,0.4896
moderate,0.3,Cifar10_hetero_moderate,fu,FU,fu_moderate_adaptive,complete,0.5791160587509354,0.329909681049676,0.5528725988422852,0.5528725988422852,0.6028481012658228,0.1060126582278481,0.40348101265822783,0.5764791651381702,0.3547871280298791,0.5694716639738472,-0.49683544303797467,-0.8241469816259295,-0.221692037108291,-0.37643315349068884,0.22296291779260924,fu_adaptive_recovery_round_4,0.5289,0.5576,-0.028699999999999948,0.5625,0.4219,,,
moderate,0.3,Cifar10_hetero_moderate,fedau,FedAU,fedau_moderate,complete,0.549429939544586,0.4762373004096503,,0.4762373004096503,0.44936708860759494,0.28164556962025317,0.28164556962025317,0.5605480340931406,0.4978586038306944,0.4978586038306944,-0.16772151898734178,-0.37323943661888775,-0.06268943026244626,-0.10891339918938188,,skipped_for_fedau,0.5039,0.5186,-0.014699999999999935,0.599,0.3281,,,
moderate,0.3,Cifar10_hetero_moderate,fedcsa,FedCSA,fedcsa_moderate,complete,0.5791160587509354,0.5664308845448665,0.5811709421584821,0.5811709421584821,0.6028481012658228,0.6234177215189873,0.5569620253164557,0.5764791651381702,0.5600990137699641,0.583860821807596,0.020569620253164556,0.03412073490807988,-0.016380151368206013,-0.028172014352347483,0.014740057613615631,external_server_recovery,0.5289,0.4936,0.035300000000000054,0.5625,0.3802,,,
moderate,0.3,Cifar10_hetero_moderate,fedosd,FedOSD,fedosd_moderate,complete,0.5791160587509354,0.4149726071275917,,0.4149726071275917,0.6028481012658228,0.10126582278481013,0.10126582278481013,0.5764791651381702,0.4498289164990118,0.4498289164990118,-0.5015822784810127,-0.832020997373948,-0.12665024863915822,-0.21095996691224717,,internal_fedosd_post_training,0.5289,0.5144,0.014500000000000068,0.5625,0.0469,,,
moderate,0.3,Cifar10_hetero_moderate,retrain,Retrain,retrain_moderate,complete,,,,0.5288105116909663,,,0.020569620253164556,,,0.585281721850722,,,,,,,,,,,,0.8429949100728207,0.5346,0.5052
