level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc
mild,pat,1.0,10,5,Cifar10_pat_mild,fu,FU,fu_mild,complete,0.7092666666666666,0.3496666666666667,0.6123333333333333,0.6123333333333333,0.772,0.174,0.08133333333333333,0.7022962962962963,0.36918518518518517,0.6713333333333333,-0.5980000000000001,-0.7746113989627273,-0.3331111111111111,-0.46094133680699756,0.2626666666666666,fu_adaptive_recovery_round_3,0.4579,0.5221,-0.06420000000000003,0.1875,0.0625,,,
mild,pat,1.0,10,5,Cifar10_pat_mild,fedau,FedAU,fedau_mild,complete,0.6547333333333332,0.46146666666666664,,0.46146666666666664,0.7053333333333334,0.19333333333333333,0.19333333333333333,0.6491111111111111,0.49125925925925923,0.49125925925925923,-0.512,-0.7258979206038858,-0.15785185185185183,-0.19902960188400243,,skipped_for_fedau,0.5074,0.5248,-0.017400000000000082,0.2344,0.0,,,
mild,pat,1.0,10,5,Cifar10_pat_mild,fedcsa,FedCSA,fedcsa_mild,complete,0.7092666666666666,0.6971999999999999,0.7172666666666667,0.7172666666666667,0.772,0.7486666666666667,0.754,0.7022962962962963,0.6914814814814816,0.7131851851851853,-0.023333333333333317,-0.03022452504313872,-0.010814814814814808,-0.013937041066045834,0.020066666666666788,external_server_recovery,0.4494,0.6189,-0.16949999999999998,0.1875,0.7969,,,
mild,pat,1.0,10,5,Cifar10_pat_mild,fedosd,FedOSD,fedosd_mild,complete,0.7092666666666666,0.5941333333333334,,0.5941333333333334,0.772,0.518,0.518,0.7022962962962963,0.6025925925925927,0.6025925925925927,-0.254,-0.3290155440410246,-0.09970370370370368,-0.1310241667415658,,internal_fedosd_post_training,0.4494,0.5305,-0.08109999999999995,0.1875,0.0,,,
mild,pat,1.0,10,5,Cifar10_pat_mild,retrain,Retrain,retrain_mild,complete,,,,0.6245333333333333,,,0.002,,,0.6937037037037038,,,,,,,,,,,,0.8933200222222222,0.4833,0.7344
moderate,pat,1.0,10,3,Cifar10_pat_moderate,fu,FU,fu_moderate,complete,0.6546000000000001,0.48286666666666667,0.6018,0.6018,0.5733333333333334,0.0,0.034666666666666665,0.6636296296296297,0.5365185185185185,0.6648148148148149,-0.5733333333333334,-0.9999999999982558,-0.1271111111111111,0.17505465109595153,0.11893333333333334,fu_adaptive_recovery_round_5,0.4719,0.4985,-0.026600000000000013,0.026,0.3958,,,
moderate,pat,1.0,10,3,Cifar10_pat_moderate,fedau,FedAU,fedau_moderate,complete,0.6294000000000001,0.5045999999999999,,0.5045999999999999,0.6066666666666667,0.13066666666666665,0.13066666666666665,0.631925925925926,0.546148148148148,0.546148148148148,-0.47600000000000003,-0.7846153846140913,-0.0857777777777778,0.029264518760916576,,skipped_for_fedau,0.5811,0.7504,-0.1693,0.526,0.1042,,,
moderate,pat,1.0,10,3,Cifar10_pat_moderate,fedcsa,FedCSA,fedcsa_moderate,complete,0.6546000000000001,0.6550666666666667,0.6685999999999999,0.6685999999999999,0.5733333333333334,0.5213333333333333,0.5146666666666667,0.6636296296296297,0.6699259259259259,0.6857037037037037,-0.052000000000000046,-0.09069767441844653,0.0062962962962963154,0.0529413651716024,0.013533333333333175,external_server_recovery,0.4617,0.4949,-0.03320000000000001,0.026,0.0104,,,
moderate,pat,1.0,10,3,Cifar10_pat_moderate,fedosd,FedOSD,fedosd_moderate,complete,0.6546000000000001,0.48286666666666667,,0.48286666666666667,0.5733333333333334,0.248,0.248,0.6636296296296297,0.5089629629629631,0.5089629629629631,-0.32533333333333336,-0.5674418604641266,-0.15466666666666662,-0.2272608341401985,,internal_fedosd_post_training,0.4617,0.497,-0.0353,0.026,0.0,,,
moderate,pat,1.0,10,3,Cifar10_pat_moderate,retrain,Retrain,retrain_moderate,complete,,,,0.5965333333333332,,,0.006,,,0.662148148148148,,,,,,,,,,,,0.879320187654321,0.5192,0.026
severe,pat,1.0,10,2,Cifar10_pat_severe,fu,FU,fu_severe,complete,0.6226,0.5685333333333333,0.6745333333333334,0.6745333333333334,0.496,0.0,0.0,0.6366666666666667,0.6317037037037037,0.7494814814814815,-0.496,-0.999999999997984,-0.004962962962962959,0.000498692192950228,0.1060000000000001,fu_adaptive_recovery_round_4,0.6067,0.5035,0.10320000000000007,0.4896,0.0,,,
