seed,method,display_name,final_avg_acc,final_target_acc,final_retain_avg_acc,final_mia_auc,final_backdoor_acc,status
42,fedau,FedAU,0.2814,0.0,0.3126666666666666,0.4917,0.0,complete
321,fedau,FedAU,0.2078,0.0,0.2308888888888889,0.4955,0.0,complete
42,fedcsa,FedCSA,0.2203333333333333,0.446,0.1952592592592592,0.4925,0.0885,complete
321,fedcsa,FedCSA,0.3202666666666666,0.006,0.3551851851851852,0.4987,0.0833,complete
42,fedosd,FedOSD,0.2784,0.3073333333333333,0.2751851851851852,0.4991,0.0885,complete
321,fedosd,FedOSD,0.3163333333333333,0.2646666666666666,0.322074074074074,0.5011,0.0938,complete
42,fu,FU,0.2773333333333333,0.0133333333333333,0.3066666666666667,0.5005,0.1354,complete
321,fu,FU,0.3465333333333333,0.0086666666666666,0.384074074074074,0.4997,0.125,complete
42,retrain,Retrain,0.2057333333333333,0.022,0.2261481481481481,0.5072,0.026,complete
321,retrain,Retrain,0.3090666666666667,0.002,0.3431851851851852,0.5085,0.0573,complete
