level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc,dataset_base,dataset_display
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fu,FU,fu_severe,complete,0.17819346355806237,0.06489632967023119,0.13691624171611197,0.13691624171611197,0.16167192429022081,0.0027602523659305996,0.011041009463722398,0.1800291901433781,0.07180033825959792,0.15090237863304415,-0.1589116719242902,-0.9829268292622129,-0.10822885188378019,-0.5991727539746876,0.07201991204588078,fu_adaptive_recovery_round_5,0.511,0.5208,-0.009800000000000031,0.1875,0.0208,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fedau,FedAU,fedau_severe,complete,0.1700469858852542,0.16821568275538587,,0.16821568275538587,0.12894321766561515,0.062302839116719244,0.062302839116719244,0.17461407124299186,0.1799837764930155,0.1799837764930155,-0.0666403785488959,-0.5168195718614352,0.0053697052500236335,0.031029124373099053,,skipped_for_fedau,0.5051,0.5124,-0.007299999999999973,0.1667,0.0885,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.17819346355806237,0.16159165084381338,0.16336967784745546,0.16336967784745546,0.16167192429022081,0.08477917981072555,0.07531545741324921,0.1800291901433781,0.1701263698474898,0.17315348011792284,-0.07689274447949526,-0.47560975609461914,-0.00990282029588833,-0.05561670972325842,0.0017780270036420742,external_server_recovery,0.52,0.51,0.010000000000000009,0.1875,0.0911,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,fedosd,FedOSD,fedosd_severe,complete,0.17819346355806237,0.1136152436867,,0.1136152436867,0.16167192429022081,0.019321766561514197,0.019321766561514197,0.1800291901433781,0.12409229670060953,0.12409229670060953,-0.14235015772870663,-0.8804878048726027,-0.05593689344276858,-0.3054799776444614,,internal_fedosd_post_training,0.52,0.5134,0.00660000000000005,0.1875,0.0365,,,,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,10,,TinyImagenet_crossds_converged_r150_severe,retrain,Retrain,retrain_severe,complete,,,,0.1626732482787314,,,0.0,,,0.1807480536430349,,,,,,,,,,,,0.8407887807458231,0.51,0.0807,TinyImagenet,Tiny-ImageNet
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fu,FU,fu_severe,complete,0.332206085397997,0.2775487316737024,0.3376787205667369,0.3376787205667369,0.37272727272727274,0.05454545454545454,0.07878787878787878,0.3277037312502997,0.30232687357684107,0.36644436965327676,-0.3181818181818182,-0.8536585365830756,-0.02537685767345868,0.0008894916047234025,0.0601299888930345,fu_adaptive_recovery_round_4,0.5051,0.4855,0.019600000000000006,0.3727,0.1364,,,,STL10,STL-10
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fedau,FedAU,fedau_severe,complete,0.34716616675379,0.3146569754188463,,0.3146569754188463,0.3606060606060606,0.11212121212121212,0.11212121212121212,0.34567284521464875,0.3371609491185834,0.3371609491185834,-0.24848484848484848,-0.68907563025019,-0.008511896096065357,-0.02859123378687276,,skipped_for_fedau,0.5149,0.4788,0.03610000000000002,0.3485,0.1545,,,,STL10,STL-10
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.332206085397997,0.3440273768320857,0.341210408954438,0.341210408954438,0.37272727272727274,0.19090909090909092,0.18787878787878787,0.3277037312502997,0.36104051971241846,0.3582472557406214,-0.18181818181818182,-0.48780487804747175,0.033336788462118766,0.11461980979342311,-0.0028169678776476803,external_server_recovery,0.5152,0.5131,0.0020999999999999908,0.3727,0.2333,,,,STL10,STL-10
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,fedosd,FedOSD,fedosd_severe,complete,0.332206085397997,0.31668482843675194,,0.31668482843675194,0.37272727272727274,0.11212121212121212,0.11212121212121212,0.3277037312502997,0.3394141191384785,0.3394141191384785,-0.2606060606060606,-0.6991869918680429,0.011710387888178794,0.050407575519033604,,internal_fedosd_post_training,0.5152,0.4583,0.056900000000000006,0.3727,0.1121,,,,STL10,STL-10
severe,dir,0.1,10,,STL10_crossds_converged_r150_severe,retrain,Retrain,retrain_severe,complete,,,,0.3175403127845286,,,0.0030303030303030303,,,0.35248586942388704,,,,,,,,,,,,0.7256254871531926,0.4959,0.1545,STL10,STL-10
