level,dataset,method,result_tag,run_mode,source_model_path,post_model_path,pre_stage,pre_attack_path,pre_auc,pre_best_acc,pre_mia_mode,pre_model_source,pre_shadow_clients,pre_shadow_samples,post_stage,post_attack_path,post_auc,post_best_acc,post_mia_mode,post_model_source,post_shadow_clients,post_shadow_samples,auc_delta_post_minus_pre
mild,Cifar10_hetero_clean_s42_mild,fu,fu_mild_shadow_mia_refresh,rerun_forgetting_from_base_model,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fu_mild.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fu_mild_shadow_mia_refresh.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fu_mild_shadow_mia_refresh.json,0.5231973333333333,0.5253333333333333,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fu_mild_shadow_mia_refresh.json,0.5037564444444445,0.513,shadow_lr,global_model,9,27000,-0.01944088888888884
mild,Cifar10_hetero_clean_s42_mild,fedau,fedau_mild_shadow_mia_refresh,direct_global_and_forget_model_eval,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedau_mild.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedau_mild.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedau_mild_shadow_mia_refresh.json,0.49526488888888887,0.5053333333333333,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedau_mild_shadow_mia_refresh.json,0.507319111111111,0.5156666666666667,shadow_lr,global_model,9,27000,0.012054222222222188
mild,Cifar10_hetero_clean_s42_mild,fedcsa,fedcsa_mild_shadow_mia_refresh,rerun_forgetting_from_base_model,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fu_mild.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedcsa_mild_shadow_mia_refresh.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedcsa_mild_shadow_mia_refresh.json,0.5231973333333333,0.5253333333333333,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedcsa_mild_shadow_mia_refresh.json,0.5147417777777777,0.5243333333333333,shadow_lr,global_model,9,27000,-0.00845555555555555
mild,Cifar10_hetero_clean_s42_mild,fedosd,fedosd_mild_shadow_mia_refresh,direct_global_and_forget_model_eval,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fu_mild.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedosd_mild.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedosd_mild_shadow_mia_refresh.json,0.5231973333333333,0.5253333333333333,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_fedosd_mild_shadow_mia_refresh.json,0.5073342222222221,0.517,shadow_lr,global_model,9,27000,-0.01586311111111116
mild,Cifar10_hetero_clean_s42_mild,retrain,retrain_mild_shadow_mia_refresh,direct_retrain_model_eval,,/home/siguangchen/zyj/FUcopy1/results/exp_configs/retrain_model_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_retrain_mild.pt,,,,,,,,,retrain_only,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_retrain_only_Cifar10_hetero_clean_s42_mild_FedAvg_test_1_retrain_mild_shadow_mia_refresh.json,0.49355200000000005,0.5113333333333333,shadow_lr,global_model,9,27000,
moderate,Cifar10_hetero_clean_s42_moderate,fu,fu_moderate_shadow_mia_refresh,rerun_forgetting_from_base_model,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fu_moderate.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fu_moderate_shadow_mia_refresh.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fu_moderate_shadow_mia_refresh.json,0.5013031111111111,0.5156666666666667,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fu_moderate_shadow_mia_refresh.json,0.49375911111111115,0.5043333333333333,shadow_lr,global_model,9,27000,-0.007543999999999995
moderate,Cifar10_hetero_clean_s42_moderate,fedau,fedau_moderate_shadow_mia_refresh,direct_global_and_forget_model_eval,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedau_moderate.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedau_moderate.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedau_moderate_shadow_mia_refresh.json,0.490904,0.505,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedau_moderate_shadow_mia_refresh.json,0.49523777777777783,0.5046666666666667,shadow_lr,global_model,9,27000,0.004333777777777825
moderate,Cifar10_hetero_clean_s42_moderate,fedcsa,fedcsa_moderate_shadow_mia_refresh,rerun_forgetting_from_base_model,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fu_moderate.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedcsa_moderate_shadow_mia_refresh.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedcsa_moderate_shadow_mia_refresh.json,0.5013031111111111,0.5156666666666667,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedcsa_moderate_shadow_mia_refresh.json,0.5061977777777777,0.5133333333333333,shadow_lr,global_model,9,27000,0.004894666666666603
moderate,Cifar10_hetero_clean_s42_moderate,fedosd,fedosd_moderate_shadow_mia_refresh,direct_global_and_forget_model_eval,/home/siguangchen/zyj/FUcopy1/results/exp_configs/global_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fu_moderate.pt,/home/siguangchen/zyj/FUcopy1/results/exp_configs/forget_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedosd_moderate.pt,pre_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_pre_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedosd_moderate_shadow_mia_refresh.json,0.5013031111111111,0.5156666666666667,shadow_lr,target_local_model_last_from_checkpoint,9,27000,post_forget,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_post_forget_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_fedosd_moderate_shadow_mia_refresh.json,0.5052346666666667,0.5133333333333333,shadow_lr,global_model,9,27000,0.003931555555555577
moderate,Cifar10_hetero_clean_s42_moderate,retrain,retrain_moderate_shadow_mia_refresh,direct_retrain_model_eval,,/home/siguangchen/zyj/FUcopy1/results/exp_configs/retrain_model_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_retrain_moderate.pt,,,,,,,,,retrain_only,/home/siguangchen/zyj/FUcopy1/results/exp_configs/attack_retrain_only_Cifar10_hetero_clean_s42_moderate_FedAvg_test_1_retrain_moderate_shadow_mia_refresh.json,0.5008724444444445,0.51,shadow_lr,global_model,9,27000,
