level,dataset,result_tag,penalty,lr_scale,recovery_rounds,status,pre_avg_acc,post_avg_acc,post_target_acc,final_avg_acc,final_target_acc,final_retain_avg_acc,recovery_stage,recovery_rounds_executed,score
mild,Cifar10_hetero_mild,fu_mild_tp06_lr09_r2,0.6,0.9,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.503507711786612,0.32786885245901637,0.5230231406007894,fu_adaptive_recovery_round_1,1,0.3067864003112022
mild,Cifar10_hetero_mild,fu_mild_tp065_lr09_r2,0.65,0.9,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.503507711786612,0.32786885245901637,0.5230231406007894,fu_adaptive_recovery_round_1,1,0.3067864003112022
mild,Cifar10_hetero_mild,fu_mild_tp07_lr09_r2,0.7,0.9,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.503507711786612,0.32786885245901637,0.5230231406007894,fu_adaptive_recovery_round_1,1,0.3067864003112022
mild,Cifar10_hetero_mild,fu_mild_tp06_lr08_r2,0.6,0.8,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.5350085834354147,0.38152011922503726,0.5520628572365677,fu_adaptive_recovery_round_2,2,0.30609651190039233
mild,Cifar10_hetero_mild,fu_mild_tp06_lr1_r2,0.6,1.0,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.507852718291483,0.33979135618479883,0.5265262029700035,fu_adaptive_recovery_round_1,1,0.30397790458060375
mild,Cifar10_hetero_mild,fu_mild_tp065_lr1_r2,0.65,1.0,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.507852718291483,0.33979135618479883,0.5265262029700035,fu_adaptive_recovery_round_1,1,0.30397790458060375
mild,Cifar10_hetero_mild,fu_mild_tp07_lr1_r2,0.7,1.0,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.507852718291483,0.33979135618479883,0.5265262029700035,fu_adaptive_recovery_round_1,1,0.30397790458060375
mild,Cifar10_hetero_mild,fu_mild_tp06_lr085_r2,0.6,0.85,2,complete,0.5613000002090427,0.3742670271992632,0.21087928464977646,0.5307079335554628,0.37853949329359166,0.5476155380290041,fu_adaptive_recovery_round_2,2,0.30358423757930775
mild,Cifar10_hetero_mild,fu_mild_tp065_lr08_r2,0.65,0.8,2,missing,,,,,,,,,
mild,Cifar10_hetero_mild,fu_mild_tp065_lr085_r2,0.65,0.85,2,missing,,,,,,,,,
mild,Cifar10_hetero_mild,fu_mild_tp07_lr08_r2,0.7,0.8,2,missing,,,,,,,,,
mild,Cifar10_hetero_mild,fu_mild_tp07_lr085_r2,0.7,0.85,2,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp055_lr1_r4,0.55,1.0,4,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5528725988422852,0.40348101265822783,0.5694716639738472,fu_adaptive_recovery_round_4,4,0.31078399124734857
moderate,Cifar10_hetero_moderate,fu_moderate_tp05_lr1_r3,0.5,1.0,3,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5358593854949126,0.3987341772151899,0.5510955197482151,fu_adaptive_recovery_round_3,3,0.2966188791657987
moderate,Cifar10_hetero_moderate,fu_moderate_tp055_lr1_r3,0.55,1.0,3,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5358593854949126,0.3987341772151899,0.5510955197482151,fu_adaptive_recovery_round_3,3,0.2966188791657987
moderate,Cifar10_hetero_moderate,fu_moderate_tp06_lr1_r3,0.6,1.0,3,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5358593854949126,0.3987341772151899,0.5510955197482151,fu_adaptive_recovery_round_3,3,0.2966188791657987
moderate,Cifar10_hetero_moderate,fu_moderate_tp05_lr09_r4,0.5,0.9,4,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5532605256176331,0.439873417721519,0.5658590931616457,fu_adaptive_recovery_round_4,4,0.28933647498472165
moderate,Cifar10_hetero_moderate,fu_moderate_tp05_lr1_r2,0.5,1.0,2,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5300103788618082,0.40822784810126583,0.5435417711685352,fu_adaptive_recovery_round_2,2,0.2850736700010488
moderate,Cifar10_hetero_moderate,fu_moderate_tp055_lr1_r2,0.55,1.0,2,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5300103788618082,0.40822784810126583,0.5435417711685352,fu_adaptive_recovery_round_2,2,0.2850736700010488
moderate,Cifar10_hetero_moderate,fu_moderate_tp06_lr1_r2,0.6,1.0,2,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5300103788618082,0.40822784810126583,0.5435417711685352,fu_adaptive_recovery_round_2,2,0.2850736700010488
moderate,Cifar10_hetero_moderate,fu_moderate_tp05_lr09_r3,0.5,0.9,3,complete,0.5791160587509354,0.329909681049676,0.1060126582278481,0.5354978615670608,0.43829113924050633,0.5462986084922334,fu_adaptive_recovery_round_3,3,0.272523178022757
moderate,Cifar10_hetero_moderate,fu_moderate_tp05_lr09_r2,0.5,0.9,2,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp05_lr1_r4,0.5,1.0,4,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp055_lr09_r2,0.55,0.9,2,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp055_lr09_r3,0.55,0.9,3,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp055_lr09_r4,0.55,0.9,4,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp06_lr09_r2,0.6,0.9,2,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp06_lr09_r3,0.6,0.9,3,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp06_lr09_r4,0.6,0.9,4,missing,,,,,,,,,
moderate,Cifar10_hetero_moderate,fu_moderate_tp06_lr1_r4,0.6,1.0,4,missing,,,,,,,,,
