sweep,sweep_label,sweep_value,lambda_value,mask_ratio,result_tag,log_path,status,final_avg_acc,final_target_acc,final_retain_avg_acc,global_buffer_avg_acc,global_buffer_target_acc,global_buffer_retain_avg_acc,mia_post_auc,backdoor_post_acc,target_abs_change,target_rel_change,others_abs_change_avg,others_rel_change_avg,recovery_stage,actual_lambda_reversal,actual_initial_mask_ratio,retain_target_gap
lambda_reversal,基础反转系数,0.15,0.15,0.1,fu_sens_lam0p15_mask0p1,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p15_mask0p1.log,complete,0.7306666666666667,0.05,0.8062962962962962,0.7150666666666666,0.4046666666666667,0.7495555555555555,0.48142399999999996,0.19791666666666666,-0.6213333333333333,-0.9255213505447981,0.3224444444444445,2.904870800907424,removed_external_recovery,0.15,0.1,0.7562962962962961
lambda_reversal,基础反转系数,0.2,0.2,0.1,fu_sens_lam0p2_mask0p1,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p2_mask0p1.log,complete,0.7307333333333335,0.04733333333333333,0.8066666666666666,0.7161333333333333,0.402,0.7510370370370372,0.4891306666666667,0.17708333333333334,-0.624,-0.9294935451823295,0.32281481481481483,2.880598743231748,removed_external_recovery,0.2,0.1,0.7593333333333333
lambda_reversal,基础反转系数,0.3,0.3,0.1,fu_sens_lam0p3_mask0p1,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p3_mask0p1.log,complete,0.7314666666666667,0.048,0.8074074074074074,0.7159333333333333,0.3933333333333333,0.7517777777777778,0.49851911111111114,0.17708333333333334,-0.6233333333333333,-0.9285004965229466,0.32355555555555554,2.8382863888645877,removed_external_recovery,0.3,0.1,0.7594074074074073
lambda_reversal,基础反转系数,0.4,0.4,0.1,fu_sens_lam0p4_mask0p1,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p4_mask0p1.log,complete,0.7306666666666667,0.048,0.8065185185185185,0.7161333333333333,0.396,0.7517037037037037,0.4971306666666667,0.18229166666666666,-0.6233333333333333,-0.9285004965229466,0.32266666666666666,2.814120562932711,removed_external_recovery,0.4,0.1,0.7585185185185185
lambda_reversal,基础反转系数,0.5,0.5,0.1,fu_sens_lam0p5_mask0p1,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p5_mask0p1.log,complete,0.7301333333333333,0.04733333333333333,0.806,0.7157333333333333,0.396,0.7512592592592592,0.5028355555555555,0.1875,-0.624,-0.9294935451823295,0.32214814814814813,2.794260610111692,removed_external_recovery,0.5,0.1,0.7586666666666667
initial_mask_ratio,初始掩码比例,0.05,0.3,0.05,fu_sens_lam0p3_mask0p05,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p3_mask0p05.log,complete,0.7398666666666667,0.07733333333333334,0.8134814814814814,0.7297333333333333,0.4673333333333333,0.7588888888888888,0.4940995555555555,0.2552083333333333,-0.594,-0.884806355510102,0.32962962962962966,2.889256560403937,removed_external_recovery,0.3,0.05,0.736148148148148
initial_mask_ratio,初始掩码比例,0.08,0.3,0.08,fu_sens_lam0p3_mask0p08,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p3_mask0p08.log,complete,0.7340000000000001,0.059333333333333335,0.808962962962963,0.7243999999999999,0.43133333333333335,0.756962962962963,0.4997582222222222,0.21875,-0.612,-0.9116186693134385,0.32511111111111113,2.839027355508358,removed_external_recovery,0.3,0.08,0.7496296296296296
initial_mask_ratio,初始掩码比例,0.1,0.3,0.1,fu_sens_lam0p3_mask0p1,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p3_mask0p1.log,complete,0.7314666666666667,0.048,0.8074074074074074,0.7159333333333333,0.3933333333333333,0.7517777777777778,0.49851911111111114,0.17708333333333334,-0.6233333333333333,-0.9285004965229466,0.32355555555555554,2.8382863888645877,removed_external_recovery,0.3,0.1,0.7594074074074073
initial_mask_ratio,初始掩码比例,0.12,0.3,0.12,fu_sens_lam0p3_mask0p12,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p3_mask0p12.log,complete,0.7275333333333333,0.03933333333333333,0.8039999999999999,0.7066000000000001,0.35533333333333333,0.7456296296296296,0.5059733333333333,0.15625,-0.632,-0.9414101290949235,0.3201481481481482,2.833379476776417,removed_external_recovery,0.3,0.12,0.7646666666666666
initial_mask_ratio,初始掩码比例,0.15,0.3,0.15,fu_sens_lam0p3_mask0p15,/home/siguangchen/zyj/FUcopy1/system/heterogeneity_runs/fu_hyper_sensitivity_cifar10_s321_severe/Cifar10_hetero_clean_s321_severe/fu_sens_lam0p3_mask0p15.log,complete,0.7185333333333332,0.03133333333333333,0.7948888888888889,0.6868666666666666,0.286,0.7314074074074074,0.5036515555555555,0.15104166666666666,-0.64,-0.9533267130075175,0.31103703703703706,2.785546392077988,removed_external_recovery,0.3,0.15,0.7635555555555555
