dataset_display,dataset,level,method,display_name,pre_local_target_acc,final_local_target_acc,local_target_drop,pre_global_model_acc,final_global_retain_acc,retain_vs_pre_global_delta,pre_mia_auc,final_mia_auc,mia_delta,retrain_gap_target,retrain_gap_retain,retrain_distance
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fu,FU,0.496,0.06733333333333333,0.42866666666666664,0.5375333333333334,0.597925925925926,0.06039259259259255,0.5087886172839506,0.49365293827160495,-0.015135679012345693,0.04533333333333333,0.0636296296296297,0.07812708159092442
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fedau,FedAU,0.116,0.03333333333333333,0.08266666666666667,0.3468,0.32422222222222224,-0.022577777777777752,0.5049823456790123,0.4938653333333333,-0.011117012345679023,0.011333333333333334,0.21007407407407402,0.2103795642226782
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fedcsa,FedCSA,0.496,0.24933333333333332,0.24666666666666667,0.5375333333333334,0.49229629629629623,-0.04523703703703719,0.5087886172839506,0.49752108641975307,-0.011267530864197572,0.22733333333333333,0.04200000000000004,0.23118054512532937
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fedosd,FedOSD,0.496,0.41,0.08600000000000002,0.5375333333333334,0.5645185185185185,0.026985185185185112,0.5087886172839506,0.4951134074074074,-0.013675209876543248,0.38799999999999996,0.03022222222222226,0.3891752596402414
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,retrain,Retrain,,0.022,,,0.5342962962962963,,,0.4892944691358025,,,,
GTSRB,GTSRB_hetero_clean_s42_severe,severe,fu,FU,0.9429735234215886,0.41140529531568226,0.5315682281059063,0.9841140529531568,0.9547408916044353,-0.029373161348721477,0.508244117122461,0.4769226940322962,-0.03132142309016478,0.41140529531568226,0.003281285358678554,0.41141838054149793
GTSRB,GTSRB_hetero_clean_s42_severe,severe,fedau,FedAU,0.814663951120163,0.008146639511201629,0.8065173116089613,0.8468431771894093,0.8374066530889341,-0.00943652410047513,0.5075389599346278,0.4852601407825586,-0.02227881915206925,0.008146639511201629,0.12061552387417973,0.12089033184985594
GTSRB,GTSRB_hetero_clean_s42_severe,severe,fedcsa,FedCSA,0.9429735234215886,0.7260692464358453,0.21690427698574333,0.9841140529531568,0.994908350305499,0.010794297352342164,0.508244117122461,0.4922163090413596,-0.01602780808110138,0.7260692464358453,0.03688617334238509,0.7270055986055133
GTSRB,GTSRB_hetero_clean_s42_severe,severe,fedosd,FedOSD,0.9429735234215886,0.2953156822810591,0.6476578411405295,0.9841140529531568,0.9710341706268386,-0.013079882326318182,0.508244117122461,0.49559691555950075,-0.01264720156296023,0.2953156822810591,0.013011993663724741,0.29560220597998293
GTSRB,GTSRB_hetero_clean_s42_severe,severe,retrain,Retrain,,0.0,,,0.9580221769631139,,,0.5107785350152023,,,,
STL10,STL10_hetero_clean_s42_severe,severe,fu,FU,0.5415384615384615,0.20923076923076922,0.3323076923076923,0.48369230769230764,0.612991452991453,0.12929914529914532,0.4548910384282434,0.45564379540065486,0.0007527569724114502,0.20307692307692307,0.15008547008547019,0.2525190785211428
STL10,STL10_hetero_clean_s42_severe,severe,fedau,FedAU,0.796923076923077,0.06153846153846154,0.7353846153846154,0.36738461538461537,0.32923076923076927,-0.038153846153846094,0.5592231548044713,0.42745304678384577,-0.1317701080206255,0.055384615384615386,0.1336752136752135,0.14469456925681684
STL10,STL10_hetero_clean_s42_severe,severe,fedcsa,FedCSA,0.5415384615384615,0.3507692307692308,0.19076923076923075,0.48369230769230764,0.704957264957265,0.22126495726495732,0.4548910384282434,0.465768376679589,0.01087733825134557,0.3446153846153846,0.24205128205128218,0.4211277555045248
STL10,STL10_hetero_clean_s42_severe,severe,fedosd,FedOSD,0.5415384615384615,0.32,0.22153846153846152,0.48369230769230764,0.6167521367521367,0.13305982905982905,0.4548910384282434,0.4985885806767285,0.0436975422484851,0.31384615384615383,0.1538461538461539,0.34952546021324127
STL10,STL10_hetero_clean_s42_severe,severe,retrain,Retrain,,0.006153846153846154,,,0.4629059829059828,,,0.47028491851405774,,,,
Tiny-ImageNet,TinyImagenet_hetero_clean_s42_severe,severe,fu,FU,0.2764,0.118,0.15839999999999999,0.32848,0.40906666666666663,0.08058666666666664,0.59074752,0.52669824,-0.06404927999999999,0.118,0.08435555555555557,0.14505123147731777
Tiny-ImageNet,TinyImagenet_hetero_clean_s42_severe,severe,fedau,FedAU,0.2376,0.0656,0.172,0.32080000000000003,0.31706666666666666,-0.0037333333333333663,0.55811136,0.53746944,-0.02064191999999998,0.0656,0.007644444444444398,0.06604390608424215
Tiny-ImageNet,TinyImagenet_hetero_clean_s42_severe,severe,fedcsa,FedCSA,0.2764,0.1228,0.15359999999999996,0.32848,0.43995555555555554,0.11147555555555555,0.59074752,0.56883904,-0.021908480000000008,0.1228,0.11524444444444448,0.16840760664325305
Tiny-ImageNet,TinyImagenet_hetero_clean_s42_severe,severe,fedosd,FedOSD,0.2764,0.216,0.06039999999999998,0.32848,0.39315555555555554,0.06467555555555554,0.59074752,0.57103616,-0.019711359999999956,0.216,0.06844444444444447,0.22658473464756765
Tiny-ImageNet,TinyImagenet_hetero_clean_s42_severe,severe,retrain,Retrain,,0.0,,,0.32471111111111106,,,0.51243072,,,,
