dataset_display,dataset,level,method,display_name,pre_local_target_acc,final_local_target_acc,local_target_drop,pre_global_model_acc,final_global_retain_acc,retain_vs_pre_global_delta,pre_mia_auc,final_mia_auc,mia_delta,retrain_gap_target,retrain_gap_retain,retrain_distance
CIFAR-10,Cifar10_hetero_clean_s42_mild,mild,fu,FU,0.7173333333333334,0.15066666666666667,0.5666666666666667,0.7005333333333333,0.7914814814814815,0.09094814814814811,0.5145512839506172,0.49511288888888894,-0.019438395061728286,0.13,0.00970370370370377,0.130361657958041
CIFAR-10,Cifar10_hetero_clean_s42_mild,mild,fedau,FedAU,0.8346666666666667,0.38666666666666666,0.448,0.8190000000000002,0.7794814814814814,-0.03951851851851873,0.4987090617283951,0.4869391358024691,-0.011769925925925961,0.366,0.02170370370370378,0.3666429472313059
CIFAR-10,Cifar10_hetero_clean_s42_mild,mild,fedcsa,FedCSA,0.7173333333333334,0.548,0.16933333333333334,0.7005333333333333,0.8454814814814815,0.14494814814814816,0.5145512839506172,0.485668,-0.028883283950617233,0.5273333333333334,0.04429629629629628,0.5291905198602993
CIFAR-10,Cifar10_hetero_clean_s42_mild,mild,fedosd,FedOSD,0.7173333333333334,0.48533333333333334,0.23200000000000004,0.7005333333333333,0.8701481481481481,0.16961481481481477,0.5145512839506172,0.4873970617283951,-0.027154222222222135,0.4646666666666667,0.06896296296296289,0.46975632126852973
CIFAR-10,Cifar10_hetero_clean_s42_mild,mild,retrain,Retrain,,0.020666666666666667,,,0.8011851851851852,,,0.46989256790123457,,,,
CIFAR-10,Cifar10_hetero_clean_s42_moderate,moderate,fu,FU,0.30933333333333335,0.17133333333333334,0.138,0.7229333333333334,0.7757037037037038,0.052770370370370356,0.5047030370370371,0.4812534320987654,-0.023449604938271695,0.17133333333333334,0.06740740740740736,0.1841164568540773
CIFAR-10,Cifar10_hetero_clean_s42_moderate,moderate,fedau,FedAU,0.592,0.013333333333333334,0.5786666666666667,0.6727333333333333,0.5680000000000001,-0.10473333333333323,0.5018203456790123,0.5039458271604937,0.002125481481481395,0.013333333333333334,0.2751111111111111,0.27543402337868117
CIFAR-10,Cifar10_hetero_clean_s42_moderate,moderate,fedcsa,FedCSA,0.30933333333333335,0.23733333333333334,0.07200000000000001,0.7229333333333334,0.7445185185185186,0.02158518518518515,0.5047030370370371,0.48987483950617283,-0.014828197530864284,0.23733333333333334,0.09859259259259257,0.2569972965329403
CIFAR-10,Cifar10_hetero_clean_s42_moderate,moderate,fedosd,FedOSD,0.30933333333333335,0.056,0.25333333333333335,0.7229333333333334,0.8052592592592592,0.0823259259259258,0.5047030370370371,0.48230197530864194,-0.022401061728395177,0.056,0.037851851851851914,0.06759262303398608
CIFAR-10,Cifar10_hetero_clean_s42_moderate,moderate,retrain,Retrain,,0.0,,,0.8431111111111111,,,0.48109111111111114,,,,
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fu,FU,0.496,0.06733333333333333,0.42866666666666664,0.5375333333333334,0.597925925925926,0.06039259259259255,0.5087886172839506,0.49365293827160495,-0.015135679012345693,0.04533333333333333,0.0636296296296297,0.07812708159092442
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fedau,FedAU,0.116,0.03333333333333333,0.08266666666666667,0.3468,0.32422222222222224,-0.022577777777777752,0.5049823456790123,0.4938653333333333,-0.011117012345679023,0.011333333333333334,0.21007407407407402,0.2103795642226782
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fedcsa,FedCSA,0.496,0.24933333333333332,0.24666666666666667,0.5375333333333334,0.49229629629629623,-0.04523703703703719,0.5087886172839506,0.49752108641975307,-0.011267530864197572,0.22733333333333333,0.04200000000000004,0.23118054512532937
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,fedosd,FedOSD,0.496,0.41,0.08600000000000002,0.5375333333333334,0.5645185185185185,0.026985185185185112,0.5087886172839506,0.4951134074074074,-0.013675209876543248,0.38799999999999996,0.03022222222222226,0.3891752596402414
CIFAR-10,Cifar10_hetero_clean_s42_severe,severe,retrain,Retrain,,0.022,,,0.5342962962962963,,,0.4892944691358025,,,,
