dataset_display,method,display_name,final_avg_acc,final_target_acc,final_retain_avg_acc,final_mia_auc,target_acc_change,others_acc_change_avg,mia_auc_drop
CIFAR-10,fu,FU,0.5268666666666667,0.06733333333333333,0.577925925925926,0.4937,-0.42866666666666664,0.21251851851851855,0.015100000000000002
CIFAR-10,fedau,FedAU,0.25926666666666665,0.03333333333333333,0.28437037037037033,0.4939,-0.08266666666666667,-0.0668888888888889,0.011099999999999999
CIFAR-10,fedcsa,FedCSA,0.3520666666666667,0.24933333333333332,0.3634814814814815,0.4975,-0.20600000000000002,0.058444444444444445,0.011800000000000033
CIFAR-10,fedosd,FedOSD,0.32893333333333336,0.41,0.3199259259259259,0.4951,-0.08600000000000002,-0.045481481481481484,0.013700000000000045
CIFAR-10,retrain,Retrain,0.32586666666666664,0.022,0.3596296296296296,0.4893,,,
GTSRB,fu,FU,0.8942973523421589,0.41140529531568226,0.9479520253451008,0.4769,-0.5315682281059063,-0.02115863317492645,0.031299999999999994
GTSRB,fedau,FedAU,0.6415478615071282,0.008146639511201629,0.7119257750622312,0.4853,-0.8065173116089613,-0.04650373387644264,0.022199999999999942
GTSRB,fedcsa,FedCSA,0.9659877800407332,0.7260692464358453,0.9926453948857207,0.4922,-0.21690427698574333,0.02353473636569361,0.01599999999999996
GTSRB,fedosd,FedOSD,0.8357433808553971,0.2953156822810591,0.8957909029192125,0.4956,-0.6476578411405295,-0.07331975560081466,0.0126
GTSRB,retrain,Retrain,0.8197556008146639,0.0,0.9108395564607377,0.5108,,,
STL10,fu,FU,0.5861538461538461,0.20923076923076922,0.6280341880341881,0.4556,-0.3323076923076923,0.15213675213675215,-0.0006999999999999784
STL10,fedau,FedAU,0.36769230769230765,0.06153846153846154,0.4017094017094017,0.4275,-0.7353846153846154,-0.0252991452991453,0.13170000000000004
STL10,fedcsa,FedCSA,0.5867692307692309,0.3507692307692308,0.612991452991453,0.4658,-0.19076923076923075,0.13709401709401706,-0.010899999999999965
STL10,fedosd,FedOSD,0.44861538461538464,0.32,0.462905982905983,0.4986,-0.22153846153846152,-0.012991452991452997,-0.04369999999999996
STL10,retrain,Retrain,0.38307692307692304,0.006153846153846154,0.42495726495726494,0.4703,,,
Tiny-ImageNet,fu,FU,0.36784,0.118,0.39560000000000006,0.5267,-0.15839999999999999,0.07973333333333334,0.06400000000000006
Tiny-ImageNet,fedau,FedAU,0.26580000000000004,0.0656,0.2880444444444445,0.5375,-0.172,-0.005599999999999997,0.020600000000000063
Tiny-ImageNet,fedcsa,FedCSA,0.36495999999999995,0.1228,0.39186666666666664,0.5688,-0.15359999999999996,0.07600000000000001,0.02190000000000003
Tiny-ImageNet,fedosd,FedOSD,0.30476000000000003,0.216,0.3146222222222222,0.571,-0.06039999999999998,-0.001244444444444437,0.01970000000000005
Tiny-ImageNet,retrain,Retrain,0.27388,0.0,0.3043111111111111,0.5124,,,
